rating,title,text,timestamp,helpful_vote,verified_purchase
4.0,No white background! It’s clear!,I bought this bc I thought it had the nice white background. Turns out it’s clear & since my phone is blue it doesn’t look anything like this.  If I had known that I would have purchased something else. It works ok.,1612044451196,0,True
5.0,Awesome!  Great price!  Works well!,Perfect. How pissed am I that I recently paid $20 for 1 Fitbit cable and promptly lost the damned thing?  Extremely pissed!  I keep the spare in my medicine bag so hopefully I won’t lose it and my grandson can’t get to it and try to use it as a belt or a dog leash or any of the other nutty things he’s been using the other one for.,1534443517349,2,True
5.0,Worked but took an hour to install,Overall very happy with the end result. If you hate puzzles don’t do it. I love puzzles and it worked for me. Took a lot of concentration and attention to detail and about an hour! The YouTube video helped a ton with installing the new screen. Highly recommend using a how to video when replacing your screen. The tools and supplies they provided were adequate. I did use additional tools from my home to successfully installed a new screen. My screws on the inside of the iPhone were stuck and I had to use an X-Acto knife to get them to come out. The glass Screen for the iPhone was beautiful and worked great. The screen protector that was additional came cracked (Not a big deal as it was extra in my eyes). I did need to use the X-Acto knife to cut off part of a plastic piece to make the final fit. So yes I modified the screen and instructions but ended up working great for me.<br /><br />I was very careful with all of the circuit boards and connections as recommended on the YouTube video. My screen replacement was very successful and I’m very happy with how it turned out.,1629235304798,3,True
4.0,Decent,Lasted about 9 months then the lock button broke off. Decent product but costing scrapes off like crazy.  I shredded this case. Protected my phone tho,1590470082910,0,True
5.0,LOVE IT!,LOVE THIS CASE! Works better than my expensive $35 cases! lol,1408994588000,0,True
5.0,Works Great with my IPhone 13 & Magna Case!,This item works great with my IPhone 13 with Magna Case on it. Also charges my Apple watch & IPods all at the same time. No issues at all. Fast shipping was great! On of the best chargers I have owned.,1646753573910,0,True
5.0,Great item! Easy to install!,Item came as described! Fast shipping & east to install!,1644932513079,0,True
4.0,Four Stars,Stocking stuffers for my boys & they liked them.,1485870336000,0,True
5.0,It is a great value & protects the phone from the normal wear ...,My son loves his camo case! It is a great value & protects the phone from the normal wear & tear of a pre teen!,1461331211000,0,True
5.0,Good to have these around!,"These work. It is a little difficult to get the yellow side off the sticky but, otherwise a great product!",1557757311964,0,True
5.0,These work!,These really work! I like having one in my bathroom near the medicine cabinet when I'm getting ready for work and one on the wall by my desk connected to the charger. This way I don't lose it or get water on it.,1557757060457,1,True
5.0,Finally something I can Hang onto!,These big phones are so hard for me to hang onto in my little hand. This case with a popsocket is the best!,1557756883381,0,True
5.0,"Great, great, great!","Works great, looks great, sticks, great!",1530231902311,0,True
5.0,Great value!,"Some people have given this less favorable reviews. My feeling is that for the price, It's VERY good. It's grippy, it fits well, the portals are unobstructed and it's slim. Not bulky at all. I wish they had more colors because, for the price, I would have several. My popsocket sticks to it too!",1530231753869,0,True
4.0,Great fit and love the color,Great fit and love the color. Just enough grip and non-skid in the car. The charger is a little bit annoying to plug in because the bottom tend to overlap a tiny bit so you have to plug in at an angle...but it works fine.,1519316898712,0,True
3.0,It's ok,It's hard to separate the ring from the inner circle..it's hard to grab. It does at least rotate. Now laying your phone flat is not an option though.,1504830208331,0,True
2.0,Don't try to tighten it up!!,"Putting it on a night stand drawer or top of headboard.  Just don't try to tighten it up to where it doesn't slip off.  When the husband tightened his up it popped off and cracked the head on the base.  Hope they stand behind the product, we will see?",1606781266760,0,True
5.0,Does a good job of protecting my phone,We've survived a few drops. Nice case.,1540324237308,0,True
5.0,"Light, good sound, cheaper than most","I got these for my wife and she loves them. They fit her really well and sound pretty good. I wouldn't compare them to something like bose qc 35 or sony's flagship, but rather to offerings from mpow,anker,aukey etc. I think they perform just as good as the 60-80 dollar competitors.",1599158604740,0,True
5.0,Perfect and easy,"Went on perfect. Clean phone with wet wipe, then dry wipe. then microfiber and dust pickup stickers. Pull the tab off and lay the glass screen on the phone. It should go on with the bubbles escaping by itself. Took ten minutes and I have no bubbles or dust under the screen from what I can see.",1434660130000,0,True
5.0,Simple and works,"Fits and stays in vent while holding a moto x with an otter box. The magnet is still very strong through the case. For the price, it's hard to beat and I would recommend to anyone who can spare to lose an air vent.",1427591745000,1,True
5.0,Better than the straight original.,Better than the straight original because wire doesn't break when used a lot in portrait alignment.,1596029771117,0,True
5.0,Perfect,It was perfect,1612034170395,0,True
5.0,Fast,Fast charging,1606084321645,0,True
5.0,Great Band,Great band. Fits perfectly and adjustable.,1583949112740,0,True
5.0,Awesome product,Works great!,1449795457000,0,True
5.0,Great product,"Great case. Stylish, durable and not bulky.",1432345302000,0,True
2.0,A bit complicated to apply. Requires spraying adhesive on ...,A bit complicated to apply. Requires spraying adhesive on a cloth in order to apply to watch face. Instructs you to wait a few days before all the air bubbles dry. Did not want to put something so permanent on my new Apple watch.,1432341709000,0,True
5.0,Yeah  okay,"Adorable, and good quality. the service was on time and easy.",1540349700671,0,True
5.0,Five Stars,"Yep, this is what I expected",1495246335000,1,True
